DEPARTAMENTO,MUNICIPIO,DIVIPOLA,FB key,lat,long,poblacion,venezuelan_mau_sep,venezuelan_dau_sep,indicador_presion_sep,venezuelan_mau_oct15,venezuelan_dau_oct15,indicador_presion_oct15,venezuelan_mau_oct30,venezuelan_dau_oct30,indicador_presion_oct30,venezuelan_mau_nov15,venezuelan_dau_nov15,indicador_presion_nov15,venezuelan_mau_nov30,venezuelan_dau_nov30,indicador_presion_nov30,venezuelan_mau_dec15,venezuelan_dau_dec15,indicador_presion_dec15,venezuelan_mau_dec30,venezuelan_dau_dec30,indicador_presion_dec30,venezuelan_mau_jan15,venezuelan_dau_jan15,indicador_presion_jan15,venezuelan_mau_jan30,venezuelan_dau_jan30,indicador_presion_jan30,venezuelan_mau_feb15,venezuelan_dau_feb15,indicador_presion_feb15,venezuelan_mau_feb28,venezuelan_dau_feb28,indicador_presion_feb28
#adm1+name,#adm2+name,#adm2+pcode,#adm2+fbcode,#geo+lat,#geo+long,#population+total,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate
Santander,Puerto Wilches,68575,477390,7.5833333,-73.6666667,31505,332,332,1054,1000,498,3174.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,Rionegro,68615,477894,7.2191667,-73.1558333,26461,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1000,498,3779.0,1000,499,3779.0,0,0,0.0
Santander,Sabana de Torres,68655,478080,7.3980556,-73.4969444,18149,997,997,5493,1000,997,5509.0,1000,997,5509.0,1000,997,5509.0,1000,997,5509.0,1000,997,5509.0,0,0,0.0,1000,599,5509.0,1000,499,5509.0,1000,249,5509.0,1000,428,5509.0
Santander,San Andres,68669,478326,6.8333333,-72.75,8208,997,997,12147,1000,997,12183.0,1000,997,12183.0,1000,997,12183.0,1000,498,12183.0,1000,997,12183.0,1000,997,12183.0,1000,664,12183.0,1000,332,12183.0,1000,997,12183.0,1000,664,12183.0
Santander,San Benito,68673,478403,6.1666667,-73.4666667,4007,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,San Gil,68679,478576,6.5833333,-73.0833333,45891,1400,610,3051,1600,851,3486.0,1800,1066,3922.0,2000,833,4358.0,1700,926,3704.0,1700,926,3704.0,1800,899,3922.0,1900,1156,4140.0,2100,1158,4576.0,2100,1487,4576.0,1300,812,2832.0
Santander,San Joaquin,68682,478657,6.4333333,-72.8666667,2371,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,San Jose de Miranda,68684,478707,6.6666667,-72.55,4214,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,San Miguel,68686,478930,6.7,-72.6666667,2295,0,0,0,1000,997,43572.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,San Vicente de Chucuri,68689,479588,6.8836111,-73.4138889,35000,498,498,1423,1000,664,2857.0,0,0,0.0,1000,664,2857.0,1000,332,2857.0,1000,664,2857.0,1000,997,2857.0,0,0,0.0,1000,498,2857.0,0,0,0.0,1000,555,2857.0
Santander,Santa Barbara,68705,479149,6.9927778,-72.9102778,2085,0,0,0,0,0,0.0,1000,332,47961.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,Santa Helena del Opon,68720,479258,6.3375,-73.5919444,4266,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,Simacota,68745,479813,6.4472222,-73.3413889,7493,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,Socorro,68755,479950,6.5333333,-73.2,30985,545,545,1759,1000,582,3227.0,1000,437,3227.0,1200,699,3872.0,1100,999,3550.0,1100,641,3550.0,1100,299,3550.0,1200,719,3872.0,1300,866,4195.0,1300,999,4195.0,1000,428,3227.0
Santander,Suaita,68770,480027,6.1666667,-73.3,10072,997,997,9899,1000,997,9928.0,0,0,0.0,0,0,0.0,0,0,0.0,1000,997,9928.0,0,0,0.0,1000,997,9928.0,1000,997,9928.0,0,0,0.0,0,0,0.0
Santander,Sucre,68773,480049,6.0833333,-73.9166667,8172,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,Surata,68780,480074,7.5,-72.9666667,3196,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1000,997,31289.0,1000,997,31289.0,1000,997,31289.0,0,0,0.0
Santander,Tona,68820,480670,7.25,-72.9,7201,333,333,4624,1000,332,13886.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1000,498,13886.0,0,0,0.0
Santander,Valle de San Jose,73854,481137,4.25,-75.1666667,6405,498,498,7775,1000,664,15612.0,1000,799,15612.0,1000,333,15612.0,1000,499,15612.0,1000,399,15612.0,1000,249,15612.0,1000,666,15612.0,1000,499,15612.0,1000,997,15612.0,1000,749,15612.0
